Player,Tm,FantPos,Age,FantPt,PPR,DKPt,PosRank
Latavius Murray,BAL,RB,31,9,8.8,8.8,23
Antonio Gibson,WAS,RB,23,9,11.8,12.8,25
Devin Singletary,BUF,RB,24,8,11.0,11.0,28
Nyheim Hines,IND,RB,25,8,14.2,14.2,27
Myles Gaskin,MIA,RB,24,8,12.6,12.6,31
DeVante Parker,MIA,WR,28,8,12.1,12.1,43
Justin Jefferson,MIN,WR,22,8,12.5,12.5,46
K.J. Osborn,MIN,WR,24,8,14.6,14.6,45
Derrick Henry,TEN,RB,27,8,10.7,10.7,30
Bryan Edwards,LVR,WR,23,8,12.1,12.1,44
Jamycal Hasty,SFO,RB,25,8,8.8,8.8,29
Trent Sherfield,SFO,WR,25,8,10.3,10.3,42
Mike Davis,ATL,RB,28,7,10.2,10.2,32
Cordarrelle Patterson,ATL,RB,30,7,8.7,8.7,35
Matt Ryan,ATL,QB,36,7,7.4,7.4,30
Stefon Diggs,BUF,WR,28,7,15.9,15.9,52
Justin Fields,CHI,QB,22,7,6.7,6.7,31
Rondale Moore,ARI,WR,21,7,10.8,10.8,53
Jerry Jeudy,DEN,WR,22,7,13.2,13.2,47
Quintez Cephus,DET,WR,23,7,10.2,10.2,48
Pharaoh Brown,HOU,TE,27,7,10.7,10.7,13
Clyde Edwards-Helaire,KAN,RB,22,7,10.2,10.2,33
Chris Hogan,NOR,WR,34,7,8.0,8.0,50
Darius Slayton,NYG,WR,24,7,9.5,9.5,54
Chase Claypool,PIT,WR,23,7,10.0,10.0,49
Kenyan Drake,LVR,RB,27,7,12.0,12.0,34
Hunter Renfrow,LVR,WR,26,7,13.0,13.0,51
Tyler Higbee,LAR,TE,28,7,11.8,11.8,12
Cole Beasley,BUF,WR,32,6,14.0,14.0,58
Andy Dalton,CHI,QB,34,6,5.5,7.5,32
Noah Fant,DEN,TE,24,6,12.2,12.2,14
Albert Okwuegbunam,DEN,TE,23,6,8.6,9.6,15
Kalif Raymond,DET,WR,27,6,8.9,8.9,60
Davante Adams,GNB,WR,29,6,10.6,10.6,61
Carlos Hyde,JAX,RB,31,6,7.8,7.8,38
Laviska Shenault Jr.,JAX,WR,23,6,12.9,12.9,59
James White,NWE,RB,29,6,12.1,12.1,36
Kenny Golladay,NYG,WR,28,6,10.4,10.4,55
Chester Rogers,TEN,WR,27,6,10.2,10.2,56
Jared Cook,LAC,TE,34,6,10.6,10.6,16
Leonard Fournette,TAM,RB,26,6,10.9,10.9,37
Terry McLaurin,WAS,WR,26,6,10.2,10.2,57
Calvin Ridley,ATL,WR,27,5,10.1,10.1,65
Emmanuel Sanders,BUF,WR,34,5,9.2,9.2,63
James Conner,ARI,RB,26,5,5.3,5.3,40
Dalton Schultz,DAL,TE,25,5,10.5,10.5,19
James O'Shaughnessy,JAX,TE,29,5,10.8,10.8,17
James Robinson,JAX,RB,23,5,8.4,8.4,39
Tony Jones,NOR,RB,24,5,6.3,6.3,41
Jonnu Smith,NWE,TE,26,5,9.8,9.8,18
Braxton Berrios,NYJ,WR,26,5,10.1,10.1,64
Najee Harris,PIT,RB,23,5,5.9,5.9,42
JuJu Smith-Schuster,PIT,WR,25,5,9.2,9.2,62
Henry Ruggs III,LVR,WR,22,5,6.6,6.6,67
Jalen Guyton,LAC,WR,24,5,7.9,7.9,66
Dawson Knox,BUF,TE,25,4,8.1,8.1,21
Marquise Goodwin,CHI,WR,31,4,8.3,8.3,69
Cole Kmet,CHI,TE,22,4,9.2,9.2,20
Allen Robinson,CHI,WR,28,4,9.5,9.5,73
Damien Williams,CHI,RB,29,4,8.0,8.0,45
C.J. Uzomah,CIN,TE,28,4,5.5,5.5,24
Ezekiel Elliott,DAL,RB,26,4,5.9,5.9,46
Michael Gallup,DAL,WR,25,4,7.6,7.6,72
Tony Pollard,DAL,RB,24,4,8.3,8.3,43
KJ Hamler,DEN,WR,22,4,7.1,7.1,70
Javonte Williams,DEN,RB,21,4,5.1,5.1,44
Tyler Conklin,MIN,TE,26,4,8.1,8.1,22
Jakobi Meyers,NWE,WR,25,4,10.4,10.4,68
Denzel Mims,NYJ,WR,24,4,5.0,5.0,71
Will Dissly,SEA,TE,25,4,6.7,6.7,23
Trey Lance,SFO,QB,21,4,4.4,4.4,33
Hayden Hurst,ATL,TE,28,3,6.8,6.8,28
Kyle Pitts,ATL,TE,21,3,7.1,7.1,27
Keith Smith,ATL,RB,29,3,6.1,6.1,48
Terrace Marshall Jr.,CAR,WR,21,3,5.6,5.6,81
Darnell Mooney,CHI,WR,24,3,7.6,7.6,83
Tyler Boyd,CIN,WR,27,3,6.2,6.2,75
Samaje Perine,CIN,RB,26,3,3.9,3.9,49
Austin Hooper,CLE,TE,27,3,5.7,5.7,29
Michael Pittman Jr.,IND,WR,24,3,5.9,5.9,77
Mike Strachan,IND,WR,24,3,4.6,4.6,82
A.J. Green,ARI,WR,33,3,4.5,4.5,84
Randall Cobb,GNB,WR,31,3,4.3,4.3,74
AJ Dillon,GNB,RB,23,3,3.6,3.6,54
Chris Conley,HOU,WR,29,3,4.7,4.7,80
Salvon Ahmed,MIA,RB,23,3,4.8,4.8,50
Hunter Henry,NWE,TE,27,3,6.1,6.1,26
Saquon Barkley,NYG,RB,24,3,3.7,3.7,51
Ty Johnson,NYJ,RB,24,3,3.6,3.6,53
Tyler Kroft,NYJ,TE,29,3,5.6,5.6,30
Julio Jones,TEN,WR,32,3,5.9,5.9,78
Jeremy McNichols,TEN,RB,26,3,6.3,6.3,47
Zach Ertz,PHI,TE,31,3,5.4,5.4,25
Marcus Mariota,LVR,QB,28,3,3.1,3.1,34
K.J. Hill,LAC,WR,24,3,6.0,6.0,76
Larry Rountree,LAC,RB,22,3,2.7,2.7,52
D'Wayne Eskridge,SEA,WR,24,3,3.8,3.8,79
Ian Thomas,CAR,TE,25,2,2.7,2.7,41
Damiere Byrd,CHI,WR,28,2,4.9,4.9,94
Harrison Bryant,CLE,TE,23,2,2.7,2.7,40
Parris Campbell,IND,WR,24,2,3.4,3.4,86
Jack Doyle,IND,TE,31,2,5.1,5.1,33
Blake Jarwin,DAL,TE,27,2,5.0,5.0,34
Cedrick Wilson Jr.,DAL,WR,26,2,5.4,5.4,87
Trinity Benson,DET,WR,24,2,4.9,4.9,92
Amon-Ra St. Brown,DET,WR,22,2,4.3,4.3,89
Aaron Jones,GNB,RB,27,2,4.2,4.2,56
Allen Lazard,GNB,WR,26,2,3.6,3.6,99
Marcedes Lewis,GNB,TE,37,2,2.9,2.9,38
Amari Rodgers,GNB,WR,22,2,2.9,2.9,91
